session_code,brewing_method_name,rating,water_type,session_type,session_date,favorite_flag,session_location_name,location_name,grind_size,notes
A1876727-4672-4D56-A7F2-5D11A8982EEC,Espresso,1,Filtered,Coffee,2025-10-16 00:00,FALSE,House,Mom's,11,
17F028CF-DFE4-4338-AA60-B708BC562C45,Espresso,1,Filtered,Coffee,2025-10-17 08:00,FALSE,House,Mom's,9,
399F6E17-4CCE-4F90-9695-BDFBBF7FB11C,Espresso,1,Filtered,Coffee,2025-10-17 13:00,FALSE,House,Mom's,5,
A7EE7061-B231-4290-9155-5F5BBC22AD24,Espresso,1,Filtered,Coffee,2025-10-18 00:00,FALSE,House,Mom's,6,
4AF15FB1-3E45-45C3-ADA8-391836EB45F3,Espresso,1,Filtered,Coffee,2025-10-19 08:00,FALSE,House,Mom's,4.5,
9C8DB895-0E91-4010-8F05-209C9B60EDA0,Espresso,1,Filtered,Coffee,2025-10-19 13:00,FALSE,House,Mom's,4,
0704C5EB-D64E-449A-8367-6DD1855D6773,Espresso,1,Filtered,Coffee,2025-10-20 08:00,FALSE,House,Mom's,4,
12596748-E42D-4F4F-99D8-E892D29176BE,Espresso,1,Filtered,Coffee,2025-10-20 13:00,FALSE,House,Mom's,2.5,
36DFD6C6-ABCA-4873-A0EE-F550002197A2,Western,6,Tap,Tea,2025-10-20 16:00,FALSE,House,Mom's,,
D7B4C8C6-3445-4F07-A81A-C65C088A7998,Espresso,1,Filtered,Coffee,2025-10-21 08:00,FALSE,House,Mom's,0,
ECD51B5D-E5F9-4116-A807-F972C910D217,Espresso,1,Filtered,Coffee,2025-10-22 08:00,FALSE,House,Mom's,1,
7074EE63-4C8E-4444-94B6-675473A482FC,Espresso,2,Filtered,Coffee,2025-10-23 08:00,FALSE,House,Mom's,3,
cd81de1c-6f33-4d99-b35f-89f023210b6a,Espresso,2,Filtered,Coffee,2025-10-24 08:00,FALSE,House,Mom's,5,
879be712-db51-41f8-a5e8-a575344b18b8,Espresso,1,Filtered,Coffee,2025-10-24 14:10,FALSE,House,Mom's,9,Grind size too high. Try 6-7 next time. Very sour
