vendor_name,country_code,currency_code,website_url
Essence of Tea,CN,CNY,https://essenceoftea.com
Sazen Tea,JP,JPY,https://www.sazentea.com
white2tea,CN,CNY,https://white2tea.com
Yunnan Sourcing,CN,CNY,https://yunnansourcing.com/
Crimson Lotus,CN,CNY,https://crimsonlotustea.com
MudandLeaves,CN,CNY,https://mudandleaves.com
Bitterleaf Teas,CN,CNY,https://www.bitterleafteas.com
Yinchen Studio,CN,CNY,https://yinchenstudio.com
Ippodo,US,USD,https://ippodotea.com
Eco-Cha,TW,TWD,https://eco-cha.com
Wuyi Origin,CN,CNY,https://www.wuyiorigin.com
Hibiki-An,JP,JPY,https://www.hibiki-an.com
Eight Ounce Coffee,CA,CAD,https://eightouncecoffee.ca
Cafune,CA,CAD,https://cafune.ca
Amazon,CA,CAD,https://amazon.ca
